ticker,asset_type,theme_1,theme_2,theme_3
HLT,stock,travel,,
DIS,stock,travel,consumer_internet,
COST,stock,consumer_staples,retail,
WMT,stock,consumer_staples,retail,
TGT,stock,retail,consumer_staples,
DG,stock,retail,consumer_staples,
DLTR,stock,retail,consumer_staples,
KR,stock,consumer_staples,retail,
PG,stock,consumer_staples,,
KO,stock,consumer_staples,,
PEP,stock,consumer_staples,,
CL,stock,consumer_staples,,
MDLZ,stock,consumer_staples,,
CMG,stock,restaurants,consumer,
MCD,stock,restaurants,consumer_staples,
SBUX,stock,restaurants,consumer,
YUM,stock,restaurants,consumer,
DRI,stock,restaurants,consumer,
DPZ,stock,restaurants,consumer,
TXRH,stock,restaurants,consumer,
TSLA,stock,autos,robotics,ai_apps
GM,stock,autos,,
F,stock,autos,,
RIVN,stock,autos,small_cap_momentum,
LCID,stock,autos,small_cap_momentum,
TM,stock,autos,,
MBLY,stock,autos,robotics,
ISRG,stock,medtech,robotics,
SYK,stock,medtech,,
BSX,stock,medtech,,
MDT,stock,medtech,,
EW,stock,medtech,,
DXCM,stock,medtech,,
TMO,stock,medtech,pharma,
UNH,stock,managed_care,healthcare,
HUM,stock,managed_care,healthcare,
CI,stock,managed_care,healthcare,
ELV,stock,managed_care,healthcare,
CNC,stock,managed_care,healthcare,
LLY,stock,pharma,,
NVO,stock,pharma,,
JNJ,stock,pharma,medtech,
MRK,stock,pharma,,
ABBV,stock,pharma,biotech,
PFE,stock,pharma,,
BMY,stock,pharma,,
AMGN,stock,biotech,pharma,
GILD,stock,biotech,pharma,
VRTX,stock,biotech,,
REGN,stock,biotech,,
BIIB,stock,biotech,,
ALNY,stock,biotech,,
MRNA,stock,biotech,small_cap_momentum,
CRSP,stock,biotech,small_cap_momentum,
NTLA,stock,biotech,small_cap_momentum,
RXRX,stock,biotech,ai_apps,small_cap_momentum
EXAS,stock,biotech,medtech,
JPM,stock,mega_banks,,
BAC,stock,mega_banks,,
WFC,stock,mega_banks,,
C,stock,mega_banks,,
GS,stock,asset_managers,mega_banks,
MS,stock,asset_managers,mega_banks,
BLK,stock,asset_managers,,
BX,stock,asset_managers,,
KKR,stock,asset_managers,,
SCHW,stock,asset_managers,fintech,
TROW,stock,asset_managers,,
COIN,stock,fintech,small_cap_momentum,
HOOD,stock,fintech,small_cap_momentum,
SOFI,stock,fintech,small_cap_momentum,
AFRM,stock,fintech,payments,small_cap_momentum
PYPL,stock,payments,fintech,
XYZ,stock,payments,fintech,
V,stock,payments,fintech,
MA,stock,payments,fintech,
GPN,stock,payments,fintech,
FIS,stock,payments,fintech,
AXP,stock,payments,mega_banks,
COF,stock,payments,regional_banks,
PNC,stock,regional_banks,,
USB,stock,regional_banks,,
TFC,stock,regional_banks,,
FITB,stock,regional_banks,,
KEY,stock,regional_banks,,
HBAN,stock,regional_banks,,
AIG,stock,insurance,,
ALL,stock,insurance,,
TRV,stock,insurance,,
CB,stock,insurance,,
PGR,stock,insurance,,
MET,stock,insurance,,
XOM,stock,oil_integrated,energy,
CVX,stock,oil_integrated,energy,
COP,stock,oil_exploration,energy,
EOG,stock,oil_exploration,energy,
OXY,stock,oil_exploration,energy,
APA,stock,oil_exploration,energy,
DVN,stock,oil_exploration,energy,
FANG,stock,oil_exploration,energy,
SLB,stock,oil_services,energy,
HAL,stock,oil_services,energy,
BKR,stock,oil_services,energy,
WMB,stock,natural_gas,energy,
KMI,stock,natural_gas,energy,
LNG,stock,natural_gas,energy,
EQT,stock,natural_gas,energy,
CTRA,stock,natural_gas,energy,
FSLR,stock,solar,energy,
ENPH,stock,solar,energy,
SEDG,stock,solar,energy,
NXT,stock,solar,energy,
CCJ,stock,uranium,nuclear,energy
UEC,stock,uranium,nuclear,small_cap_momentum
UUUU,stock,uranium,nuclear,small_cap_momentum
NXE,stock,uranium,nuclear,small_cap_momentum
LEU,stock,uranium,nuclear,small_cap_momentum
DNN,stock,uranium,nuclear,small_cap_momentum
OKLO,stock,nuclear,energy,small_cap_momentum
SMR,stock,nuclear,energy,small_cap_momentum
NNE,stock,nuclear,energy,small_cap_momentum
NEM,stock,gold,,
GOLD,stock,gold,,
AEM,stock,gold,,
WPM,stock,gold,silver,
FNV,stock,gold,silver,
PAAS,stock,silver,gold,
HL,stock,silver,small_cap_momentum,
FCX,stock,copper,,
SCCO,stock,copper,,
TECK,stock,copper,,
LMT,stock,defense,aerospace,
RTX,stock,defense,aerospace,
NOC,stock,defense,aerospace,
GD,stock,defense,aerospace,
LHX,stock,defense,aerospace,
HWM,stock,defense,aerospace,
HEI,stock,defense,aerospace,
LDOS,stock,defense,vertical_software,
KTOS,stock,defense,small_cap_momentum,
AXON,stock,defense,ai_apps,
RKLB,stock,aerospace,defense,small_cap_momentum
LUNR,stock,aerospace,small_cap_momentum,
ASTS,stock,aerospace,small_cap_momentum,
SPIR,stock,aerospace,small_cap_momentum,
BA,stock,aerospace,defense,
TDG,stock,aerospace,defense,
HON,stock,aerospace,robotics,
GE,stock,aerospace,energy,
CAT,stock,robotics,energy,
DE,stock,robotics,,
ROK,stock,robotics,,
EMR,stock,robotics,energy,
SYM,stock,robotics,small_cap_momentum,
ZBRA,stock,robotics,,
CGNX,stock,robotics,,
OUST,stock,robotics,small_cap_momentum,
BABA,stock,china_internet,consumer_internet,
JD,stock,china_internet,retail,
PDD,stock,china_internet,retail,
BIDU,stock,china_internet,consumer_internet,ai_apps
NTES,stock,china_internet,consumer_internet,
TCOM,stock,china_internet,travel,
BILI,stock,china_internet,consumer_internet,small_cap_momentum
TME,stock,china_internet,consumer_internet,
FUTU,stock,china_internet,fintech,
YMM,stock,china_internet,small_cap_momentum,
KWEB,etf,china_internet,,
