"ticker","asset_type","theme_1","theme_2","theme_3"
"CLOV","stock","managed_care_insurance","",""
"CLS","stock","semis_compute","electronics_components",""
"CLSK","stock","cloud_neocloud","crypto_infrastructure",""
"CME","stock","banks_brokers_exchanges","",""
"CMG","stock","restaurants_food","restaurants","consumer"
"CMPS","stock","biotech_innovation","",""
"CMS","stock","power_grid_electrification","utilities_yield",""
"CNC","stock","managed_care_insurance","managed_care","healthcare"
"CNH","stock","industrial_automation","",""
"COF","stock","banks_brokers_exchanges","payments","regional_banks"
"COHR","stock","semis_compute","networking_optical","electronics_components"
"COHU","stock","semicap_equipment","advanced_packaging",""
"COIN","stock","fintech_payments","crypto_infrastructure","fintech"
"COLB","stock","banks_brokers_exchanges","",""
"COLD","stock","real_estate_reits","",""
"COMP","stock","consumer_internet_marketplaces","",""
"COO","stock","medtech_devices","",""
"COP","stock","oil_gas","oil_exploration","energy"
"COR","stock","datacenter_reits_towers","",""
"CORZ","stock","cloud_neocloud","crypto_infrastructure","data_centers"
"COST","stock","mega_cap_platforms","retail_consumer","consumer_staples"
"COUR","stock","enterprise_software","",""
"CPNG","stock","consumer_internet_marketplaces","",""
"CPRI","stock","apparel_beauty_lifestyle","",""
"CRCL","stock","crypto_infrastructure","enterprise_software",""
"CRDO","stock","semis_compute","networking_optical",""
"CRGY","stock","oil_gas","energy",""
"CRH","stock","industrial_automation","construction_infrastructure",""
"CRM","stock","mega_cap_platforms","enterprise_software","business_apps"
"CRML","stock","rare_earth_critical_minerals","copper_metals",""
"CROX","stock","apparel_beauty_lifestyle","",""
"CRSP","stock","biotech_innovation","biotech",""
"CRWD","stock","cybersecurity","",""
"CRWV","stock","cloud_neocloud","",""
"CSCO","stock","networking","data_centers",""
"CSIQ","stock","renewables_storage","",""
"CTRA","stock","natural_gas","energy",""
"CTVA","stock","agriculture_food_inputs","",""
"CVNA","stock","consumer_internet_marketplaces","",""
"CVS","stock","healthcare","managed_care",""
"CVX","stock","oil_gas","oil_integrated","energy"
"CW","stock","defense_aerospace","",""
"D","stock","power_grid_electrification","utilities_yield",""
"DAL","stock","transport_logistics","airlines_travel",""
"DAR","stock","agriculture_food_inputs","",""
"DASH","stock","consumer_internet_marketplaces","",""
"DB","stock","banks_brokers_exchanges","",""
"DBX","stock","enterprise_software","",""
"DD","stock","industrial_automation","",""
"DDD","stock","additive_manufacturing","medtech_devices","defense_aerospace"
"DDOG","stock","enterprise_software","ai_apps_agents","dev_tools"
"DE","stock","industrial_automation","agriculture_food_inputs","robotics"
"DECK","stock","apparel_beauty_lifestyle","",""
"DEI","stock","real_estate_reits","",""
"DELL","stock","cloud_neocloud","storage",""
"DFTX","stock","biotech_innovation","",""
"DG","stock","retail_consumer","retail","consumer_staples"
"DHI","stock","homebuilders_housing","",""
"DHR","stock","diagnostics_tools","",""
"DIA","etf","etf_benchmarks","",""
"DIS","stock","digital_ads_media","streaming_entertainment","travel"
"DKNG","stock","gaming_sports_betting","",""
"DLR","stock","real_estate_reits","datacenter_reits_towers","data_centers"
"DLTR","stock","retail_consumer","retail","consumer_staples"
"DNA","stock","biotech_innovation","",""
"DNN","stock","uranium","nuclear",""
"DOC","stock","real_estate_reits","",""
"DOCN","stock","cloud_neocloud","enterprise_software",""
"DOCU","stock","enterprise_software","workflow_software","business_apps"
"DOW","stock","industrial_automation","",""
"DPZ","stock","restaurants_food","restaurants","consumer"
"DRI","stock","restaurants_food","restaurants","consumer"
"DUK","stock","power_grid_electrification","utilities_yield",""
"DUOL","stock","ai_apps_agents","ai_apps","consumer_internet"
"DVN","stock","oil_gas","oil_exploration","energy"
"DXCM","stock","medtech_devices","medtech",""
"DY","stock","construction_infrastructure","",""
"EA","stock","gaming_sports_betting","",""
"EAT","stock","restaurants_food","",""
"EBAY","stock","consumer_internet_marketplaces","",""
"EDIT","stock","biotech_innovation","",""
"EGO","stock","gold_silver_miners","",""
"EIX","stock","power_grid_electrification","utilities_yield",""
"EL","stock","apparel_beauty_lifestyle","",""
"ELAN","stock","healthcare","",""
"ELF","stock","apparel_beauty_lifestyle","retail_consumer",""
"ELV","stock","managed_care_insurance","managed_care","healthcare"
"ELVR","stock","lithium_battery_materials","renewables_storage",""
"EMR","stock","datacenter_infra","power_grid_electrification","industrial_automation"
"ENPH","stock","renewables_storage","solar","energy"
"ENTG","stock","semicap_equipment","",""
"ENVX","stock","renewables_storage","lithium_battery_materials",""
"EOG","stock","oil_gas","oil_exploration","energy"
"EOSE","stock","renewables_storage","",""
"EPD","stock","oil_gas","",""
"EQIX","stock","real_estate_reits","datacenter_reits_towers","data_centers"
"EQNR","stock","oil_gas","",""
"EQT","stock","natural_gas","energy",""
"EQX","stock","copper_metals","",""
"ERIC","stock","networking_optical","",""
"ET","stock","oil_gas","",""
"ETN","stock","datacenter_infra","power_grid_electrification","utilities_yield"
"ETSY","stock","consumer_internet_marketplaces","",""
"EW","stock","medtech_devices","medtech",""
"EXAS","stock","biotech_innovation","diagnostics_tools","biotech"
"EXC","stock","power_grid_electrification","utilities_yield",""
"EXK","stock","gold_silver_miners","copper_metals",""
"EXP","stock","construction_infrastructure","",""
"EXPE","stock","airlines_travel","travel","consumer_internet"
"EXTR","stock","networking_optical","semis_compute",""
"F","stock","autos","",""
"FANG","stock","oil_gas","oil_exploration","energy"
"FBIN","stock","datacenter_infra","power_grid_electrification","construction_infrastructure"
"FCEL","stock","power_grid_electrification","utilities_yield","renewables_storage"
"FCX","stock","copper_metals","copper",""
"FDX","stock","transport_logistics","",""
"FIGS","stock","apparel_beauty_lifestyle","",""
"FIS","stock","fintech_payments","payments","fintech"
"FISV","stock","fintech_payments","",""
"FITB","stock","regional_banks","",""
"FIVE","stock","retail_consumer","",""
"FLEX","stock","semis_compute","electronics_components",""
"FLG","stock","banks_brokers_exchanges","",""
"FLNC","stock","renewables_storage","",""
"FLR","stock","datacenter_infra","power_grid_electrification","construction_infrastructure"
"FLS","stock","datacenter_infra","power_grid_electrification",""
"FLUT","stock","gaming_sports_betting","",""
"FLY","stock","defense_aerospace","",""
"FLYW","stock","fintech_payments","",""
"FMC","stock","agriculture_food_inputs","",""
"FND","stock","construction_infrastructure","homebuilders_housing",""
"FNV","stock","gold","silver",""
"FORM","stock","semicap_equipment","advanced_packaging",""
"FOUR","stock","fintech_payments","",""
"FROG","stock","enterprise_software","",""
"FSK","stock","banks_brokers_exchanges","",""
"FSLR","stock","renewables_storage","solar","energy"
"FSM","stock","gold_silver_miners","",""
"FTI","stock","oil_services","",""
"FTNT","stock","cybersecurity","",""
"FTV","stock","datacenter_infra","power_grid_electrification","industrial_automation"
"FUTU","stock","china_internet","fintech",""
"GAP","stock","apparel_beauty_lifestyle","",""
"GBTG","stock","airlines_travel","",""
"GD","stock","defense_aerospace","defense","aerospace"
"GE","stock","industrial_automation","defense_aerospace","aerospace"
"GEHC","stock","medtech_devices","diagnostics_tools",""
"GEN","stock","cybersecurity","enterprise_software",""
"GEV","stock","datacenter_infra","power_grid_electrification","utilities_yield"
"GFS","stock","semis_compute","quantum_computing",""
"GH","stock","biotech_innovation","diagnostics_tools",""
"GILD","stock","pharma_largecap","biotech","pharma"
"GLBE","stock","consumer_internet_marketplaces","enterprise_software",""
"GLD","etf","etf_benchmarks","gold",""
"GLW","stock","semis_compute","networking_optical","electronics_components"
"GLXY","stock","crypto_infrastructure","enterprise_software",""
"GM","stock","autos","",""
"GME","stock","retail_consumer","",""
"GMED","stock","medtech_devices","",""
"GNRC","stock","datacenter_infra","power_grid_electrification",""
"GOLD","stock","gold_silver_miners","gold",""
"GOOGL","stock","mega_cap_platforms","ai_apps_agents","cloud_neocloud"
"GPN","stock","fintech_payments","payments","fintech"
"GS","stock","banks_brokers_exchanges","asset_managers","mega_banks"
"GSAT","stock","space_satellites","",""
"GSK","stock","pharma_largecap","",""
"GTLB","stock","dev_tools","enterprise_software",""
"GTM","stock","enterprise_software","ai_apps_agents",""
"GXO","stock","transport_logistics","",""
"H","stock","airlines_travel","",""
"HAL","stock","oil_services","energy",""
"HAYW","stock","construction_infrastructure","homebuilders_housing",""
"HBAN","stock","banks_brokers_exchanges","regional_banks",""
"HBM","stock","copper_metals","copper",""
"HD","stock","retail_consumer","homebuilders_housing",""
"HEI","stock","defense_aerospace","defense","aerospace"
"HII","stock","defense_aerospace","",""
"HIMS","stock","obesity_glp1_health","healthcare",""
"HIMX","stock","semis_compute","",""
"HL","stock","gold_silver_miners","silver",""
"HLF","stock","apparel_beauty_lifestyle","",""
"HLIT","stock","networking_optical","",""
"HLT","stock","airlines_travel","travel",""
"HMY","stock","gold_silver_miners","copper_metals",""
"HOLX","stock","medtech_devices","",""
"HON","stock","quantum_computing","space_satellites","aerospace"
"HOOD","stock","fintech_payments","crypto_infrastructure","fintech"
"HP","stock","oil_services","",""
"HPE","stock","cloud_neocloud","networking","storage"
"HPP","stock","real_estate_reits","",""
"HPQ","stock","hardware_devices","storage",""
"HRL","stock","agriculture_food_inputs","",""
"HTZ","stock","transport_logistics","airlines_travel",""
"HUBB","stock","datacenter_infra","power_grid_electrification",""
"HUBS","stock","enterprise_software","ai_apps_agents","workflow_software"
"HUM","stock","managed_care_insurance","managed_care","healthcare"
"HUT","stock","cloud_neocloud","crypto_infrastructure",""
"HWM","stock","defense_aerospace","defense","aerospace"
"IAG","stock","gold_silver_miners","copper_metals",""
"IBKR","stock","banks_brokers_exchanges","",""
"IBM","stock","quantum_computing","",""
"ICE","stock","banks_brokers_exchanges","",""
"ICHR","stock","semicap_equipment","",""
"ICL","stock","agriculture_food_inputs","",""
"IGV","etf","etf_benchmarks","",""
"ILMN","stock","diagnostics_tools","",""
"INDV","stock","biotech_innovation","",""
"INOD","stock","enterprise_software","",""
"INTC","stock","semis_compute","semis",""
"INTU","stock","mega_cap_platforms","enterprise_software","business_apps"
"IONQ","stock","quantum_computing","",""
"IOT","stock","enterprise_software","ai_apps_agents",""
"IPGP","stock","electronics_components","",""
"IR","stock","datacenter_infra","power_grid_electrification","industrial_automation"
"IRDM","stock","space_satellites","",""
"IREN","stock","cloud_neocloud","crypto_infrastructure",""
"IRTC","stock","medtech_devices","",""
"ISRG","stock","medtech_devices","medtech","robotics"
"ITA","etf","etf_benchmarks","",""
"IVZ","stock","asset_managers_alts","",""
"IWM","etf","etf_benchmarks","small_caps",""
"IYT","etf","etf_benchmarks","",""
"J","stock","construction_infrastructure","",""
"JBHT","stock","transport_logistics","",""
"JBL","stock","semis_compute","electronics_components",""
"JBLU","stock","transport_logistics","airlines_travel",""
"JCI","stock","datacenter_infra","power_grid_electrification",""
"JD","stock","consumer_internet_marketplaces","china_internet","retail"
"JEF","stock","banks_brokers_exchanges","",""
"JETS","etf","etf_benchmarks","",""
"JHX","stock","construction_infrastructure","homebuilders_housing",""
"JMIA","stock","consumer_internet_marketplaces","",""
"JNJ","stock","pharma_largecap","pharma","medtech"
"JOBY","stock","drones_autonomy","",""
"JPM","stock","mega_cap_platforms","banks_brokers_exchanges","mega_banks"
"KBH","stock","homebuilders_housing","",""
"KDP","stock","apparel_beauty_lifestyle","",""
"KEY","stock","regional_banks","",""
"KGC","stock","gold_silver_miners","",""
"KKR","stock","asset_managers_alts","asset_managers",""
"KLAC","stock","semicap_equipment","semis","advanced_packaging"
"KMI","stock","oil_gas","natural_gas","energy"
"KMX","stock","retail_consumer","",""
"KNX","stock","transport_logistics","",""
"KO","stock","consumer_staples","",""
"KOPN","stock","space_satellites","",""
"KR","stock","retail_consumer","consumer_staples","retail"
"KSS","stock","retail_consumer","",""
"KTOS","stock","defense_aerospace","drones_autonomy","defense"
"KVYO","stock","enterprise_software","",""
"KWEB","etf","etf_benchmarks","china_internet",""
"LAC","stock","lithium_battery_materials","rare_earth_critical_minerals","renewables_storage"
"LAR","stock","lithium_battery_materials","rare_earth_critical_minerals","renewables_storage"
"LBRT","stock","oil_services","oil_gas",""
"LC","stock","fintech_payments","",""
"LCID","stock","autos","",""
"LDOS","stock","defense_aerospace","defense","vertical_software"
"LEN","stock","homebuilders_housing","",""
"LEU","stock","nuclear_uranium","uranium","nuclear"
"LFST","stock","healthcare","",""
"LHX","stock","defense","aerospace",""
"LI","stock","china_internet","",""
"LITE","stock","semis_compute","networking_optical","electronics_components"
"LLY","stock","mega_cap_platforms","pharma_largecap","obesity_glp1_health"
"LMT","stock","defense_aerospace","space_satellites","defense"
"LNG","stock","oil_gas","natural_gas","energy"
"LOW","stock","retail_consumer","homebuilders_housing",""
"LPTH","stock","space_satellites","",""
"LRCX","stock","semicap_equipment","semis","memory"
"LSCC","stock","semis_compute","",""
"LULU","stock","apparel_beauty_lifestyle","",""
"LUNR","stock","space_satellites","aerospace",""
"LUV","stock","transport_logistics","airlines_travel",""
"LWLG","stock","networking_optical","",""
"LYFT","stock","transport_logistics","airlines_travel",""
"LYV","stock","digital_ads_media","streaming_entertainment",""
"M","stock","retail_consumer","",""
"MA","stock","fintech_payments","payments","fintech"
"MAIN","stock","asset_managers_alts","",""
"MAR","stock","airlines_travel","travel",""
"MARA","stock","crypto_infrastructure","",""
"MAS","stock","construction_infrastructure","homebuilders_housing",""
"MBLY","stock","drones_autonomy","autos","robotics"
"MCD","stock","restaurants_food","restaurants","consumer_staples"
"MCHP","stock","semis_compute","semis","autos"
"MDB","stock","cloud","dev_tools",""
"MDLZ","stock","consumer_staples","",""
"MDT","stock","medtech_devices","medtech",""
"MELI","stock","consumer_internet_marketplaces","",""
"MET","stock","insurance","",""
"META","stock","mega_cap_platforms","ai_apps_agents","cloud_neocloud"
"MGNI","stock","digital_ads_media","",""
"MGY","stock","oil_gas","",""
"MLM","stock","construction_infrastructure","",""
"MMM","stock","industrial_automation","",""
"MNDY","stock","enterprise_software","",""
"MOH","stock","managed_care_insurance","managed_care","healthcare"
"MOS","stock","agriculture_food_inputs","",""
"MP","stock","rare_earth_critical_minerals","",""
"MPT","stock","real_estate_reits","",""
"MPWR","stock","semis","ai_infrastructure",""
"MQ","stock","fintech_payments","",""
"MRAM","stock","semis_compute","memory_storage","memory"
"MRCY","stock","defense_aerospace","defense",""
"MRK","stock","pharma_largecap","pharma",""
"MRNA","stock","biotech_innovation","biotech",""
"MRVL","stock","semis_compute","semis","networking"
"MS","stock","banks_brokers_exchanges","asset_managers","mega_banks"
"MSFT","stock","mega_cap_platforms","enterprise_software","ai_apps_agents"
"MSI","stock","defense_aerospace","",""
"MSTR","stock","crypto_infrastructure","",""
"MT","stock","copper_metals","",""
"MTH","stock","homebuilders_housing","",""
"MTSI","stock","electronics_components","",""
"MTZ","stock","construction_infrastructure","",""
"MU","stock","semis_compute","memory_storage","memory"
"NAMS","stock","biotech_innovation","",""
"NBIS","stock","cloud_neocloud","",""
"NBR","stock","oil_services","",""
"NCLH","stock","airlines_travel","",""
"NDAQ","stock","banks_brokers_exchanges","",""
"NEE","stock","power_grid_electrification","utilities_yield",""
"NEM","stock","gold_silver_miners","gold",""
"NET","stock","enterprise_software","cloud","cybersecurity"
"NFLX","stock","mega_cap_platforms","digital_ads_media","streaming_entertainment"
"NIO","stock","china_internet","",""
"NKE","stock","apparel_beauty_lifestyle","",""
"NNDM","stock","additive_manufacturing","electronics_components",""
"NNE","stock","nuclear_uranium","nuclear","energy"
"NOC","stock","defense_aerospace","space_satellites","defense"
"NOK","stock","networking_optical","",""
"NOW","stock","mega_cap_platforms","enterprise_software","workflow_software"
"NRG","stock","power_grid_electrification","utilities_yield","renewables_storage"
"NTAP","stock","semis_compute","memory_storage","storage"
"NTES","stock","gaming_sports_betting","china_internet","consumer_internet"
"NTLA","stock","biotech_innovation","biotech",""
"NTR","stock","agriculture_food_inputs","",""
"NTSK","stock","enterprise_software","ai_apps_agents","cybersecurity"
"NU","stock","fintech_payments","",""
"NUE","stock","copper_metals","",""
"NVAX","stock","biotech_innovation","",""
"NVDA","stock","mega_cap_platforms","semis_compute","ai_infrastructure"
"NVO","stock","pharma_largecap","obesity_glp1_health","pharma"
"NVST","stock","medtech_devices","",""
"NVTS","stock","semis_compute","",""
"NWG","stock","banks_brokers_exchanges","",""
"NXE","stock","nuclear_uranium","uranium","nuclear"
"NXPI","stock","semis_compute","",""
"NXT","stock","solar","energy",""
"O","stock","real_estate_reits","",""
"OC","stock","construction_infrastructure","homebuilders_housing",""
"ODFL","stock","transport_logistics","",""
"OKLO","stock","nuclear_uranium","nuclear","energy"
"OKTA","stock","cybersecurity","",""
"OLLI","stock","retail_consumer","",""
"OLN","stock","industrial_automation","",""
"OMDA","stock","obesity_glp1_health","healthcare",""
"ON","stock","semis_compute","semis","autos"
"ONDS","stock","drones_autonomy","space_satellites",""
"ONON","stock","apparel_beauty_lifestyle","",""
"ONTO","stock","semicap_equipment","advanced_packaging",""
"OPEN","stock","consumer_internet_marketplaces","",""
"ORCL","stock","mega_cap_platforms","enterprise_software","ai_apps_agents"
"OSCR","stock","managed_care_insurance","managed_care","healthcare"
"OTIS","stock","datacenter_infra","power_grid_electrification","industrial_automation"
"OUST","stock","robotics","",""
"OUT","stock","real_estate_reits","",""
"OVV","stock","oil_gas","",""
"OWL","stock","asset_managers_alts","",""
"OXY","stock","oil_gas","oil_exploration","energy"
"P","stock","streaming_entertainment","",""
"PAAS","stock","gold_silver_miners","silver","gold"
"PACB","stock","biotech_innovation","diagnostics_tools",""
"PAGS","stock","fintech_payments","enterprise_software",""
"PANW","stock","cybersecurity","",""
"PATH","stock","ai_apps_agents","ai_apps","robotics"
"PAVE","etf","etf_benchmarks","",""
"PAYC","stock","enterprise_software","",""
"PAYO","stock","fintech_payments","",""
"PCAR","stock","industrial_automation","transport_logistics",""
"PCG","stock","power_grid_electrification","utilities_yield",""
"PCOR","stock","enterprise_software","",""
"PDD","stock","consumer_internet_marketplaces","china_internet","retail"
"PEG","stock","power_grid_electrification","utilities_yield",""
"PEP","stock","consumer_staples","",""
"PFE","stock","pharma_largecap","pharma",""
"PG","stock","consumer_staples","",""
"PGR","stock","insurance","",""
"PH","stock","datacenter_infra","power_grid_electrification","industrial_automation"
"PHM","stock","homebuilders_housing","",""
"PINS","stock","digital_ads_media","consumer_internet","ai_apps"
"PK","stock","airlines_travel","real_estate_reits",""
"PL","stock","space_satellites","",""
"PLD","stock","real_estate_reits","",""
"PLTR","stock","enterprise_software","ai_apps_agents","defense_aerospace"
"PLUG","stock","renewables_storage","",""
"PLXS","stock","electronics_components","",""
"PNC","stock","regional_banks","",""
"PODD","stock","medtech_devices","",""
"PRIM","stock","datacenter_infra","power_grid_electrification","construction_infrastructure"
"PSA","stock","real_estate_reits","",""
"PSKY","stock","digital_ads_media","streaming_entertainment",""
"PSTG","stock","memory_storage","storage","data_centers"
"PTC","stock","creative_software","dev_tools","vertical_software"
"PTEN","stock","oil_services","",""
"PURR","stock","crypto_infrastructure","",""
"PWR","stock","datacenter_infra","power_grid_electrification","construction_infrastructure"
"PYPL","stock","fintech_payments","payments","fintech"
"Q","stock","semis_compute","",""
"QBTS","stock","quantum_computing","",""
"QCOM","stock","semis_compute","semis","networking"
"QLYS","stock","cybersecurity","",""
"QMCO","stock","storage","memory_storage",""
"QQQ","etf","etf_benchmarks","growth",""
"QS","stock","renewables_storage","lithium_battery_materials",""
"QSR","stock","restaurants_food","",""
"QUBT","stock","quantum_computing","",""
"QXO","stock","consumer_internet_marketplaces","",""
"RBLX","stock","gaming_sports_betting","creative_software",""
"RBRK","stock","enterprise_software","ai_apps_agents","cybersecurity"
"RCL","stock","airlines_travel","",""
"RDDT","stock","ai_apps_agents","digital_ads_media","ai_apps"
"RDW","stock","space_satellites","",""
"REGN","stock","pharma_largecap","biotech",""
"RGTI","stock","quantum_computing","",""
"RIG","stock","oil_services","",""
"RIO","stock","copper_metals","copper",""
"RIOT","stock","crypto_infrastructure","",""
"RIVN","stock","autos","",""
"RJF","stock","banks_brokers_exchanges","",""
"RKLB","stock","space_satellites","aerospace","defense"
"RKT","stock","consumer_internet_marketplaces","",""
"RMBS","stock","semis_compute","memory_storage","memory"
"ROAD","stock","construction_infrastructure","",""
"ROG","stock","electronics_components","",""
"ROIV","stock","biotech_innovation","",""
"ROK","stock","datacenter_infra","power_grid_electrification","industrial_automation"
"ROKU","stock","digital_ads_media","streaming_entertainment",""
"RRC","stock","natural_gas","oil_gas",""
"RTX","stock","defense_aerospace","space_satellites","defense"
"RUM","stock","digital_ads_media","",""
"RUN","stock","renewables_storage","solar",""
