"theme","category","min_constituents","max_constituents","allow_etfs","benchmark","is_tradable","is_watchlist_only"
"gold_silver_miners","Materials","8","35","False","GDX","True","False"
"growth","Macro","1","25","True","SPY","False","True"
"hardware_devices","Technology","4","20","False","SPY","False","True"
"healthcare","Healthcare","6","25","False","SPY","True","False"
"homebuilders_housing","Consumer/Industrials","8","35","False","XHB","True","False"
"industrial_automation","Industrials","10","40","False","XLI","True","False"
"insurance","Financials","6","25","False","SPY","True","False"
"lithium_battery_materials","Materials","6","30","False","LIT","True","False"
"long_bonds","Macro","1","25","True","SPY","False","True"
"managed_care","Healthcare","6","25","False","SPY","True","False"
"managed_care_insurance","Healthcare","6","30","False","XLV","True","False"
"market","Macro","1","25","True","SPY","False","True"
"medtech","Healthcare","6","25","False","SPY","True","False"
"medtech_devices","Healthcare","8","35","False","IHI","True","False"
"mega_banks","Financials","6","25","False","XLF","True","False"
"mega_cap_platforms","Technology","5","15","False","QQQ","True","False"
"memory","Technology","6","25","False","SPY","True","False"
"memory_storage","Technology","6","25","False","SMH","True","False"
"natural_gas","Energy","6","25","False","SPY","True","False"
"networking","Technology","6","25","False","SPY","True","False"
"networking_optical","Technology","8","35","False","QQQ","True","False"
"nuclear","Energy","6","25","False","SPY","True","False"
"nuclear_uranium","Energy/Utilities","6","30","False","URA","True","False"
"obesity_glp1_health","Healthcare","5","25","False","XLV","True","False"
"oil_exploration","Energy","6","25","True","SPY","True","False"
"oil_gas","Energy","12","45","False","XLE","True","False"
"oil_integrated","Energy","6","25","True","SPY","True","False"
"oil_services","Energy","6","25","False","SPY","True","False"
"payments","Financials","6","25","False","SPY","True","False"
"pharma","Healthcare","6","25","True","SPY","True","False"
"pharma_largecap","Healthcare","8","35","False","XLV","True","False"
"power_grid_electrification","Utilities/Industrials","10","45","False","XLU","True","False"
"quantum_computing","Technology","4","20","False","QTUM","True","False"
"rare_earth_critical_minerals","Materials","5","25","False","REMX","True","False"
"real_estate_reits","Real Estate","8","35","False","VNQ","True","False"
"regional_banks","Financials","6","25","False","SPY","True","False"
"renewables_storage","Energy/Industrials","8","35","False","ICLN","True","False"
"restaurants","Consumer","6","25","False","SPY","True","False"
"restaurants_food","Consumer","8","35","False","XLY","True","False"
"retail","Consumer","6","25","False","SPY","True","False"
"retail_consumer","Consumer","10","45","False","XLY","True","False"
"robotics","Industrials","6","25","False","SPY","True","False"
"semicap_equipment","Technology","8","35","False","SMH","True","False"
"semis","Technology","6","25","False","SMH","True","False"
"semis_compute","Technology","10","45","False","SMH","True","False"
"silver","Materials","6","25","True","SPY","True","False"
"small_caps","Macro","1","25","True","SPY","False","True"
"solar","Energy","6","25","False","SPY","True","False"
"space_satellites","Industrials/Communication","6","30","False","ARKX","True","False"
"storage","Technology","6","25","False","SPY","True","False"
"streaming_entertainment","Communication","6","30","False","XLC","True","False"
"transport_logistics","Industrials","8","35","False","IYT","True","False"
"travel","Consumer","6","25","False","SPY","True","False"
"uranium","Energy","6","25","False","SPY","True","False"
"utilities_yield","Utilities","8","35","False","XLU","True","False"
"vertical_software","Technology","6","25","False","SPY","True","False"
"workflow_software","Technology","6","25","False","SPY","True","False"
