"ticker","sector","market_cap_bucket","type"
"SHOP","Unknown","Unknown","Stock"
"SHY","Unknown","Unknown","ETF"
"SIL","Unknown","Unknown","ETF"
"SLB","Unknown","Unknown","Stock"
"SLS","Unknown","Unknown","Stock"
"SLV","Unknown","Unknown","ETF"
"SMCI","Unknown","Unknown","Stock"
"SMH","Unknown","Unknown","ETF"
"SMR","Unknown","Unknown","Stock"
"SNAP","Unknown","Unknown","Stock"
"SNDK","Unknown","Unknown","Stock"
"SNDL","Unknown","Unknown","Stock"
"SNOW","Unknown","Unknown","Stock"
"SOFI","Unknown","Unknown","Stock"
"SOUN","Unknown","Unknown","Stock"
"SOXL","Unknown","Unknown","ETF"
"SPOT","Unknown","Unknown","Stock"
"SPY","Unknown","Unknown","ETF"
"STNE","Unknown","Unknown","Stock"
"SVXY","Unknown","Unknown","ETF"
"TBT","Unknown","Unknown","ETF"
"TECK","Unknown","Unknown","Stock"
"TEM","Unknown","Unknown","Stock"
"TGT","Unknown","Unknown","Stock"
"TLT","Unknown","Unknown","ETF"
"TQQQ","Unknown","Unknown","ETF"
"TSLA","Unknown","Unknown","Stock"
"TSLL","Unknown","Unknown","ETF"
"TSM","Unknown","Unknown","Stock"
"TTD","Unknown","Unknown","Stock"
"TXN","Unknown","Unknown","Stock"
"U","Unknown","Unknown","Stock"
"UAL","Unknown","Unknown","Stock"
"UBER","Unknown","Unknown","Stock"
"UEC","Unknown","Unknown","Stock"
"UNG","Unknown","Unknown","ETF"
"UNH","Unknown","Unknown","Stock"
"USO","Unknown","Unknown","ETF"
"UUUU","Unknown","Unknown","Stock"
"UVXY","Unknown","Unknown","ETF"
"VLO","Unknown","Unknown","Stock"
"VRT","Unknown","Unknown","Stock"
"VTI","Unknown","Unknown","ETF"
"VXX","Unknown","Unknown","ETF"
"WMT","Unknown","Unknown","Stock"
"XLB","Unknown","Unknown","ETF"
"XLC","Unknown","Unknown","ETF"
"XLE","Unknown","Unknown","ETF"
"XLF","Unknown","Unknown","ETF"
"XLI","Unknown","Unknown","ETF"
"XLK","Unknown","Unknown","ETF"
"XLP","Unknown","Unknown","ETF"
"XLRE","Unknown","Unknown","ETF"
"XLU","Unknown","Unknown","ETF"
"XLV","Unknown","Unknown","ETF"
"XLY","Unknown","Unknown","ETF"
"XOM","Unknown","Unknown","Stock"
"XYZ","Unknown","Unknown","Stock"
"YETI","Unknown","Unknown","Stock"
"ZETA","Unknown","Unknown","Stock"
