theme,theme_return_5d,theme_vs_spy_5d,theme_num_constituents,entropy_score,is_tradable,is_watchlist_only
transport_logistics,0.017659210051626757,0.024943667235851525,19,2.2094815876997744,True,False
real_estate_reits,0.01669979771367159,0.023984254897896358,20,2.0221165934015897,True,False
mega_banks,0.016574680096677476,0.023859137280902245,7,1.5602600588130255,True,False
business_apps,0.016156897555583288,0.023441354739808056,9,0.3963494656761299,True,False
streaming_entertainment,0.01575391870956552,0.023038375893790288,11,0.6054782343534802,True,False
oil_gas,0.01568321403778764,0.022967671222012407,26,2.6078816344130895,True,False
oil_exploration,0.015478991160974207,0.022763448345198976,7,1.628228128016086,True,False
consumer,0.015040244355375099,0.022324701539599867,6,0.8445499976047026,True,False
utilities_yield,0.014924562591832587,0.022209019776057354,22,1.4827127008479914,True,False
homebuilders_housing,0.014013938320954489,0.021298395505179257,16,2.215509665829168,True,False
ai_apps,0.011904942831392614,0.019189400015617385,9,1.7345309691975928,True,False
payments,0.011616848683939727,0.018901305868164495,9,1.6271588939657002,True,False
space_satellites,0.010684461530202164,0.017968918714426935,19,1.5283560338380573,True,False
aerospace,0.009018899939202463,0.01630335712342723,12,1.2369942596749395,True,False
consumer_staples,0.00823947120251109,0.015523928386735858,12,1.0002130232574558,True,False
pharma,0.00817151044398513,0.015455967628209898,10,2.104054037794797,True,False
banks_brokers_exchanges,0.00783907993621249,0.015123537120437259,25,2.3382456184171034,True,False
travel,0.00697597333559682,0.01426043051982159,7,1.2818150694093586,True,False
semis,0.006907872168344661,0.014192329352569429,15,1.590831673863044,True,False
fintech_payments,0.0036978320680901462,0.010982289252314915,21,2.2713732395375037,True,False
pharma_largecap,0.0036838038862637627,0.010968261070488532,15,2.0890869075395857,True,False
semis_compute,0.0036829706591796525,0.010967427843404421,43,2.431131612541762,True,False
cloud_neocloud,0.0028067411072600357,0.010091198291484804,18,2.096112115089838,True,False
natural_gas,0.0015600378335125324,0.0088444950177373,6,1.4885785110231484,True,False
retail,-0.0006190282217440414,0.006665428962480727,7,0.5774051267628032,True,False
memory,-0.0019968163066035696,0.005287640877621199,6,0.9376549367116744,True,False
oil_services,-0.0038631055202362576,0.003421351663988511,12,1.7939702242584468,True,False
defense,-0.004457028543978114,0.002827428640246654,13,0.5500830762814757,True,False
consumer_internet,-0.005298187852368932,0.001986269331855837,9,1.456997259142443,True,False
small_caps,-0.006890567370514633,0.00039388981371013543,1,-0.0,False,True
market,-0.0072844571842247685,0.0,1,-0.0,False,True
growth,-0.007335428976364744,-5.097179213997549e-05,1,-0.0,False,True
mega_cap_platforms,-0.007853229968780063,-0.0005687727845552944,17,1.7137707199737355,True,False
long_bonds,-0.00824301652538395,-0.000958559341159182,1,-0.0,False,True
asset_managers,-0.008252957946963093,-0.0009685007627383245,7,1.574082883406958,True,False
gaming_sports_betting,-0.00983987166224698,-0.002555414478022211,11,2.016093781227224,True,False
consumer_internet_marketplaces,-0.010933677783251794,-0.003649220599027026,27,2.1903729485413166,True,False
power_grid_electrification,-0.011307717811203316,-0.004023260626978548,46,2.0304016308641617,True,False
defense_aerospace,-0.013352172199132947,-0.006067715014908178,27,1.6700652813846268,True,False
etf_benchmarks,-0.01354389009858514,-0.006259432914360371,32,2.641062262145024,False,True
fintech,-0.014821769031996113,-0.007537311847771344,12,2.039225750556448,True,False
managed_care_insurance,-0.018234747223268257,-0.010950290039043489,9,1.600606646918505,True,False
biotech,-0.018346373158619613,-0.011061915974394845,11,2.0609338762643876,True,False
robotics,-0.019215255540562692,-0.011930798356337924,10,1.5622304875627873,True,False
healthcare,-0.02192525042934678,-0.014640793245122012,14,1.9964502262302137,True,False
memory_storage,-0.022050550771200123,-0.014766093586975355,7,0.7999717934699117,True,False
data_centers,-0.022056230985398915,-0.014771773801174146,7,1.2797296211060947,True,False
crypto_infrastructure,-0.02256045022655605,-0.015275993042331282,19,1.960679251655105,True,False
asset_managers_alts,-0.026098980740851676,-0.018814523556626907,15,1.8529160058036576,True,False
managed_care,-0.02611721217014582,-0.01883275498592105,9,1.6276720335014283,True,False
additive_manufacturing,-0.027343955437573814,-0.020059498253349045,4,0.4458098333250402,True,False
agriculture_food_inputs,-0.027532545957338877,-0.02024808877311411,13,0.8402754709570146,True,False
electronics_components,-0.0281389121781922,-0.02085445499396743,14,1.0678401019714725,True,False
construction_infrastructure,-0.02921274647321696,-0.02192828928899219,21,2.701632549005222,True,False
industrial_automation,-0.035971814259768156,-0.028687357075543388,22,2.038746925034359,True,False
datacenter_infra,-0.036787824797126896,-0.029503367612902127,26,2.4737955932868863,True,False
autos,-0.044149340874994426,-0.03686488369076966,10,1.8147789220164081,True,False
networking_optical,-0.04495148524774129,-0.037667028063516524,14,1.7181414109450912,True,False
advanced_packaging,-0.04556145907820895,-0.03827700189398418,9,1.6356543967799075,True,False
semicap_equipment,-0.04972569148633579,-0.04244123430211102,16,1.842160551866269,True,False
drones_autonomy,-0.04985342440981528,-0.04256896722559051,11,1.6998777880649205,True,False
gold,-0.05317416039235152,-0.04588970320812675,7,1.1871472267201,True,False
nuclear_uranium,-0.05321750372636124,-0.04593304654213647,11,1.9513024620578387,True,False
copper,-0.054457817721845714,-0.047173360537620945,6,1.4850707704968815,True,False
rare_earth_critical_minerals,-0.05468051174955362,-0.04739605456532885,7,0.831375332962857,True,False
china_internet,-0.05872834605864807,-0.051443888874423305,16,2.127402033068207,True,False
copper_metals,-0.062033387667115567,-0.0547489304828908,22,2.5972471421284546,True,False
lithium_battery_materials,-0.07367615769597163,-0.06639170051174687,8,0.9092238564490898,True,False
nuclear,-0.0803689712551775,-0.07308451407095273,8,1.3580735303232598,True,False
uranium,-0.09094266094333468,-0.08365820375910991,6,1.3936341127770855,True,False
gold_silver_miners,-0.09354111025122647,-0.0862566530670017,17,2.3417947117538276,True,False
silver,-0.10445331748777531,-0.09716886030355054,7,0.8070672200333033,True,False
